City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Shubarkuduk,KZ,2022-09-15 15:17:42,49.1447,56.4872,69.71,34,80,10.09,broken clouds
60,Deputatskiy,RU,2022-09-15 15:17:43,69.3,139.9,25.93,97,100,2.01,overcast clouds
61,Punta Arenas,CL,2022-09-15 15:17:43,-53.15,-70.9167,44.71,61,75,27.63,broken clouds
62,Sao Filipe,CV,2022-09-15 15:17:44,14.8961,-24.4956,79.83,83,94,7.56,moderate rain
63,Kalghatgi,IN,2022-09-15 15:17:44,15.1833,74.9667,74.52,97,100,8.21,overcast clouds
64,Geraldton,AU,2022-09-15 15:17:44,-28.7667,114.6,55.81,94,100,2.3,overcast clouds
65,East London,ZA,2022-09-15 15:17:45,-33.0153,27.9116,68.94,83,75,9.22,broken clouds
66,Vila,PT,2022-09-15 15:17:45,42.0304,-8.1588,68.88,73,83,0.74,broken clouds
67,Tocopilla,CL,2022-09-15 15:17:45,-22.092,-70.1979,65.64,58,2,5.41,clear sky
68,Bandarbeyla,SO,2022-09-15 15:17:46,9.4942,50.8122,78.35,82,0,29.77,clear sky
69,Necochea,AR,2022-09-15 15:17:46,-38.5473,-58.7368,66.9,47,53,17.38,broken clouds
70,Yumen,CN,2022-09-15 15:17:46,40.2833,97.2,68.31,18,97,12.8,overcast clouds
71,Maracaibo,VE,2022-09-15 15:17:47,10.6317,-71.6406,87.28,62,89,6.26,overcast clouds
72,Kaniama,CD,2022-09-15 15:17:47,-7.5667,24.1833,81.14,47,97,4.94,overcast clouds
73,Chokurdakh,RU,2022-09-15 15:17:48,70.6333,147.9167,35.02,95,100,4.16,overcast clouds
74,Gangapur,IN,2022-09-15 15:17:48,26.4833,76.7167,78.67,89,100,8.72,overcast clouds
75,Castro,BR,2022-09-15 15:12:58,-24.7911,-50.0119,59.43,84,100,7.92,overcast clouds
76,Guerrero Negro,MX,2022-09-15 15:15:03,27.9769,-114.0611,70.75,75,66,14.07,broken clouds
77,Touros,BR,2022-09-15 15:17:49,-5.1989,-35.4608,83.79,57,31,15.82,scattered clouds
78,Ati,TD,2022-09-15 15:17:49,13.2154,18.3353,94.84,39,96,9.98,overcast clouds
79,Oyama,JP,2022-09-15 15:17:50,36.3,139.8,76.59,66,100,4.72,overcast clouds
80,Olinda,BR,2022-09-15 15:17:50,-8.0089,-34.8553,82.13,65,75,10.36,broken clouds
81,Greenfield,US,2022-09-15 15:15:33,42.9614,-88.0126,71.1,79,40,8.05,haze
82,Kawalu,ID,2022-09-15 15:17:51,-7.3817,108.2082,70.5,97,76,0.81,broken clouds
83,New Norfolk,AU,2022-09-15 15:17:51,-42.7826,147.0587,49.71,71,81,2.3,broken clouds
84,Esperance,AU,2022-09-15 15:17:51,-33.8667,121.9,53.44,77,69,27.49,broken clouds
85,Qasigiannguit,GL,2022-09-15 15:17:52,68.8193,-51.1922,44.85,96,100,1.45,light rain
86,Zhangye,CN,2022-09-15 15:17:52,38.9342,100.4517,71.31,47,100,7.18,overcast clouds
87,Sarangani,PH,2022-09-15 15:17:53,5.4033,125.4636,83.77,73,89,13.44,overcast clouds
88,Beloha,MG,2022-09-15 15:17:53,-25.1667,45.05,73.94,65,3,17.09,clear sky
89,Hobart,AU,2022-09-15 15:17:53,-42.8794,147.3294,50.05,92,97,2.3,overcast clouds
90,Rach Gia,VN,2022-09-15 15:17:54,10.0167,105.0833,82.31,80,100,13.51,light rain
91,Le Port,RE,2022-09-15 15:17:54,-20.9373,55.2919,71.6,72,12,5.44,few clouds
92,Kuching,MY,2022-09-15 15:17:55,1.55,110.3333,75.42,94,40,5.01,scattered clouds
93,Bethel,US,2022-09-15 15:17:55,41.3712,-73.414,67.55,57,0,13.8,clear sky
94,Ustyuzhna,RU,2022-09-15 15:17:55,58.8394,36.4321,54.5,86,100,5.46,overcast clouds
95,Seoul,KR,2022-09-15 15:17:56,37.5683,126.9778,78.37,69,0,9.22,clear sky
96,Aklavik,CA,2022-09-15 15:17:56,68.2191,-135.0107,41.0,93,100,3.44,overcast clouds
97,Houma,US,2022-09-15 15:15:45,29.5958,-90.7195,82.4,76,0,6.91,clear sky
98,Butterworth,MY,2022-09-15 15:17:57,5.3991,100.3638,82.0,84,40,3.44,heavy intensity rain
99,Port Alfred,ZA,2022-09-15 15:17:57,-33.5906,26.891,69.19,84,61,3.0,broken clouds
100,Kapaa,US,2022-09-15 15:14:17,22.0752,-159.319,72.1,88,40,5.75,scattered clouds
101,Victoria,HK,2022-09-15 15:17:58,22.2855,114.1577,89.19,66,10,5.01,clear sky
102,Lima,PE,2022-09-15 15:17:58,-12.0432,-77.0282,61.9,85,100,5.75,overcast clouds
103,Teya,RU,2022-09-15 15:17:59,60.3778,92.6267,40.41,92,52,2.48,broken clouds
104,Pec,XK,2022-09-15 15:17:59,42.6591,20.2883,78.98,49,100,7.78,overcast clouds
105,Zimapan,MX,2022-09-15 15:17:59,20.75,-99.35,59.92,78,99,2.08,overcast clouds
106,Georgetown,MY,2022-09-15 15:15:04,5.4112,100.3354,81.9,82,40,3.44,light rain
107,Ilo,PE,2022-09-15 15:18:00,-17.6394,-71.3375,61.66,77,100,8.05,overcast clouds
108,Da Nang,VN,2022-09-15 15:16:57,16.0678,108.2208,76.98,88,20,4.61,few clouds
109,Horki,BY,2022-09-15 15:18:00,54.2861,30.9842,60.22,68,96,7.7,overcast clouds
110,Cape Town,ZA,2022-09-15 15:13:28,-33.9258,18.4232,68.11,61,0,9.22,clear sky
111,Dikson,RU,2022-09-15 15:18:01,73.5069,80.5464,35.51,97,78,29.33,broken clouds
112,Lagoa,PT,2022-09-15 15:18:02,39.05,-27.9833,73.76,83,100,23.98,overcast clouds
113,Te Anau,NZ,2022-09-15 15:13:48,-45.4167,167.7167,39.72,92,96,1.1,overcast clouds
114,Villa Del Rosario,CO,2022-09-15 15:18:02,7.8339,-72.4742,82.78,54,20,3.44,few clouds
115,Yellowknife,CA,2022-09-15 15:14:03,62.456,-114.3525,50.56,81,75,8.05,broken clouds
116,Sydney,AU,2022-09-15 15:16:55,-33.8679,151.2073,56.71,94,75,13.8,broken clouds
117,Bredasdorp,ZA,2022-09-15 15:18:03,-34.5322,20.0403,66.96,65,79,8.81,broken clouds
118,Podor,MR,2022-09-15 15:18:04,16.6527,-14.9587,99.41,28,6,4.14,clear sky
119,Champerico,GT,2022-09-15 15:18:04,14.3,-91.9167,82.94,87,100,18.03,overcast clouds
120,Keti Bandar,PK,2022-09-15 15:18:05,24.1447,67.4497,81.75,86,100,18.68,overcast clouds
121,Hilo,US,2022-09-15 15:13:31,19.7297,-155.09,78.28,95,100,1.01,overcast clouds
122,Moundou,TD,2022-09-15 15:18:05,8.5667,16.0833,86.16,75,93,1.86,light rain
123,Catia La Mar,VE,2022-09-15 15:18:05,10.6038,-67.0303,94.98,72,20,2.3,few clouds
124,Lavrentiya,RU,2022-09-15 15:18:06,65.5833,-171.0,45.28,89,77,14.54,broken clouds
125,Vardo,NO,2022-09-15 15:18:06,70.3705,31.1107,46.11,88,100,26.49,overcast clouds
126,Hasaki,JP,2022-09-15 15:18:07,35.7333,140.8333,66.6,67,100,5.84,overcast clouds
127,Atuona,PF,2022-09-15 15:18:07,-9.8,-139.0333,76.86,65,60,16.22,broken clouds
128,Gunjur,GM,2022-09-15 15:18:08,13.2019,-16.7339,93.27,55,40,4.61,scattered clouds
129,Santa Lucia,ES,2022-09-15 15:18:08,27.9117,-15.5407,74.52,54,20,27.63,few clouds
130,Shingu,JP,2022-09-15 15:16:44,33.7333,135.9833,75.76,85,99,11.16,overcast clouds
131,Carupano,VE,2022-09-15 15:18:09,10.6678,-63.2585,86.32,66,43,8.19,scattered clouds
132,Mehamn,NO,2022-09-15 15:18:09,71.0357,27.8492,44.55,87,75,18.41,broken clouds
133,Saquena,PE,2022-09-15 15:18:10,-4.6667,-73.5167,89.51,55,100,1.9,overcast clouds
134,Kropotkin,RU,2022-09-15 15:18:10,45.4375,40.5756,71.73,50,100,10.89,overcast clouds
